[ 5323.267038] google_charger: usbchg=USB typec=C usbv=4878 usbc=489 usbMv=5000 usbMc=500
[ 5403.429002] iaxxx-spi spi5.0: iaxxx_suspend_chip() chip put into sleep power mode
[ 5403.429005] iaxxx-spi spi5.0: iaxxx_suspend_chip() Success
[ 5404.536732] healthd: battery l=99 v=4298 t=35.3 h=2 st=4 c=131 fc=2755000 cc=9 chg=u
[ 5406.559063] iaxxx-spi spi5.0: iaxxx_ext_clk_off_work mclk_en 0 is off
[ 5425.085880] google_charger: usbchg=USB typec=C usbv=4868 usbc=485 usbMv=5000 usbMc=500
[ 5425.085972] sm8150_bms: MSC_PCS chg_state=1f410ca03010015 [0x15:3:1:4298:500] chg=u
[ 5425.085984] google_battery: MSC_DIN chg_state=1f410ca03010015 f=0x15 chg_s=Charging chg_t=Fast vchg=4298 icl=500
[ 5425.089706] google_battery: MSC_DSG vbatt_idx:2->2 vbatt=4303125 ibatt=14062 fv_uv=4400000 cv_cnt=3 ov_cnt=0
[ 5425.089717] google_battery: MSC_LOGIC cv_cnt=3 ov_cnt=0 temp_idx:2->2, vbatt_idx:2->2, fv=4400000->4400000, cc_max=1400000
[ 5425.089721] google_battery: MSC_VOTE fv_uv=4400000 cc_max=1400000 update_interval=30000
[ 5425.089752] google_charger: MSC_CHG fv_uv=4400000, cc_max=925000, rerun in 30000 ms (0)
[ 5430.561415] after: swapin tgid 1032 pid 1032 name "ip6tables-resto" vma 7fbda09000
[ 5430.561520] after: swapin tgid 1032 pid 1032 name "ip6tables-resto" vma 7fbda02000
[ 5430.561568] after: swapin tgid 1032 pid 1032 name "ip6tables-resto" vma 7fbe266000
[ 5430.561593] after: swapin tgid 1032 pid 1032 name "ip6tables-resto" vma 7fbe263000
[ 5430.561616] after: swapin tgid 1032 pid 1032 name "ip6tables-resto" vma 7fbe261000
[ 5430.561641] after: swapin tgid 1032 pid 1032 name "ip6tables-resto" vma 7fbe04b000
[ 5432.921169] after: swapin tgid 788 pid 27587 name "netd" vma 7fbcf29000
[ 5433.389167] swapout tgid 896 pid 896 name "thermal-engine" vma 7fba4ff000
[ 5433.389184] swapout tgid 822 pid 822 name "usb@1.2-service" vma 7fba7fa000
[ 5433.389367] swapout tgid 822 pid 822 name "usb@1.2-service" vma 7fbdc92000
[ 5433.389412] swapout tgid 822 pid 822 name "usb@1.2-service" vma 7fbba04000
[ 5433.390013] swapout tgid 534 pid 534 name "ueventd" vma 7fcc463000
[ 5433.390064] swapout tgid 534 pid 534 name "ueventd" vma 7f8a2af000
[ 5433.390093] swapout tgid 534 pid 534 name "ueventd" vma 7f8a249000
[ 5433.390123] swapout tgid 534 pid 534 name "ueventd" vma 7f8a321000
[ 5433.390150] swapout tgid 534 pid 534 name "ueventd" vma 7f8a31d000
[ 5433.390180] swapout tgid 534 pid 534 name "ueventd" vma 7f8a255000
[ 5433.390205] swapout tgid 534 pid 534 name "ueventd" vma 7f8a317000
[ 5433.390229] swapout tgid 534 pid 534 name "ueventd" vma 7f8a314000
[ 5433.390249] swapout tgid 534 pid 534 name "ueventd" vma 7f8a311000
[ 5433.390275] swapout tgid 534 pid 534 name "ueventd" vma 7f8a2de000
[ 5433.390292] swapout tgid 534 pid 534 name "ueventd" vma 7f8a30b000
[ 5433.391172] swapout tgid 534 pid 534 name "ueventd" vma 5590dea000
[ 5433.391214] swapout tgid 534 pid 534 name "ueventd" vma 7f8a27e000
[ 5433.969357] swapout tgid 896 pid 896 name "thermal-engine" vma 5555589000
[ 5433.969373] swapout tgid 896 pid 896 name "thermal-engine" vma 5555f02000
[ 5433.969395] swapout tgid 896 pid 896 name "thermal-engine" vma 7fbd052000
[ 5433.969647] swapout tgid 896 pid 896 name "thermal-engine" vma 7fbd027000
[ 5433.969670] swapout tgid 896 pid 896 name "thermal-engine" vma 7fbd026000
[ 5433.969690] swapout tgid 896 pid 896 name "thermal-engine" vma 7f8dc4a000
[ 5433.969702] swapout tgid 896 pid 896 name "thermal-engine" vma 7f8dc49000
[ 5433.969741] swapout tgid 896 pid 896 name "thermal-engine" vma 7fbd041000
[ 5433.969760] swapout tgid 896 pid 896 name "thermal-engine" vma 7fbd051000
[ 5433.969782] swapout tgid 896 pid 896 name "thermal-engine" vma 5555b54000
[ 5433.969815] swapout tgid 896 pid 896 name "thermal-engine" vma 7fbd00a000
[ 5433.969833] swapout tgid 896 pid 896 name "thermal-engine" vma 5555efd000
[ 5433.969850] swapout tgid 896 pid 896 name "thermal-engine" vma 7f8dc48000
[ 5433.969871] swapout tgid 896 pid 896 name "thermal-engine" vma 7f8ba4f000
[ 5433.969915] swapout tgid 896 pid 896 name "thermal-engine" vma 7fbd038000
[ 5433.969930] swapout tgid 896 pid 896 name "thermal-engine" vma 7fbd932000
[ 5433.969949] swapout tgid 896 pid 896 name "thermal-engine" vma 7fbf6ef000
[ 5433.969981] swapout tgid 896 pid 896 name "thermal-engine" vma 7fbdb48000
