[12834.533216] google_charger: usbchg=USB typec=C usbv=4870 usbc=489 usbMv=5000 usbMc=500
[12834.533324] sm8150_bms: MSC_PCS chg_state=1f4112303010015 [0x15:3:1:4387:500] chg=u
[12887.583734] swapout tgid 935 pid 935 name "storaged" vma 7fbd22b000
[12887.583742] swapout tgid 935 pid 935 name "storaged" vma 7fbd22c000
[12887.583749] swapout tgid 935 pid 935 name "storaged" vma 7fbcfdd000
[12887.583760] swapout tgid 935 pid 935 name "storaged" vma 7fbd400000
[12887.599067] after: swapin tgid 818 pid 2397 name "NodeLooperThrea" vma 7fbd26b000
[12887.599117] after: swapin tgid 818 pid 2397 name "NodeLooperThrea" vma 7fbd26c000
[12887.686684] swapout tgid 575 pid 575 name "Binder:575_2" vma 7fbcc74000
[12887.686701] swapout tgid 575 pid 575 name "Binder:575_2" vma 7fb9001000
[12887.686717] swapout tgid 575 pid 575 name "Binder:575_2" vma 7fb9002000
[12887.686723] swapout tgid 575 pid 575 name "Binder:575_2" vma 7fbcccb000
[12887.686732] swapout tgid 575 pid 575 name "Binder:575_2" vma 7fbcc30000
