# tracer: nop
#
# entries-in-buffer/entries-written: 5325/5325   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
       UnityMain-6063  [006] d..4  1257.556018: __free_cluster: [REMOTE __free_cluster] free cluster 1882
 send_target_man-200   [003] ...1  1270.521296: send_zram_to_nbd: target sent id 4: 6534 7e9c6f4000 832b6
 send_target_man-200   [003] ...1  1270.522984: send_zram_to_nbd: target sent id 4: 6534 7e9fc47000 832b7
 send_target_man-200   [003] ...1  1270.524674: send_zram_to_nbd: target sent id 4: 6534 7e9fc48000 832b8
 send_target_man-200   [000] ...1  1270.526618: send_zram_to_nbd: target sent id 4: 6534 7e9fc49000 832b9
 send_target_man-200   [000] ...1  1270.528356: send_zram_to_nbd: target sent id 4: 6534 7e9fd8b000 832ba
 send_target_man-200   [000] ...1  1270.530149: send_zram_to_nbd: target sent id 4: 6534 7e9ffb7000 832bb
 send_target_man-200   [000] ...1  1270.532120: send_zram_to_nbd: target sent id 4: 6534 7e9fa1a000 832bc
 send_target_man-200   [001] ...1  1270.534212: send_zram_to_nbd: target sent id 4: 6534 7ea5a9b000 832bd
 send_target_man-200   [001] ...1  1270.536274: send_zram_to_nbd: target sent id 4: 6534 7e9fa3f000 832be
 send_target_man-200   [001] ...1  1270.538460: send_zram_to_nbd: target sent id 4: 6534 7ea5d64000 832bf
 send_target_man-200   [001] ...1  1270.540510: send_zram_to_nbd: target sent id 4: 6534 7ea5dd4000 832c0
 send_target_man-200   [001] ...1  1270.542361: send_zram_to_nbd: target sent id 4: 6534 7e9c6f5000 832c1
 send_target_man-200   [001] ...1  1270.544219: send_zram_to_nbd: target sent id 4: 6534 7eafcc3000 832c2
 send_target_man-200   [001] ...1  1270.546065: send_zram_to_nbd: target sent id 4: 6534 7e9fc4a000 832c3
 send_target_man-200   [001] ...1  1270.547930: send_zram_to_nbd: target sent id 4: 6534 7e9fce2000 832c4
 send_target_man-200   [002] ...1  1270.550360: send_zram_to_nbd: target sent id 4: 6534 7e9fce3000 832c5
 send_target_man-200   [002] ...1  1270.552475: send_zram_to_nbd: target sent id 4: 6534 7e9c3b2000 832c6
 send_target_man-200   [000] ...1  1270.554311: send_zram_to_nbd: target sent id 4: 6534 7e9c3b3000 832c7
 send_target_man-200   [000] ...1  1270.556087: send_zram_to_nbd: target sent id 4: 6534 7ea5e31000 832c8
