# tracer: nop
#
# entries-in-buffer/entries-written: 5137/5137   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
       UnityMain-6048  [004] d..4   864.086419: __free_cluster: [REMOTE __free_cluster] free cluster 1015
 send_target_man-200   [002] ...1   878.975739: send_zram_to_nbd: target sent id 4: 6514 7eaeec3000 26cc1
 send_target_man-200   [002] ...1   878.977892: send_zram_to_nbd: target sent id 4: 6514 7eaeeee000 26cc2
 send_target_man-200   [002] ...1   878.979885: send_zram_to_nbd: target sent id 4: 6514 7ea38ef000 26cc3
 send_target_man-200   [002] ...1   878.981765: send_zram_to_nbd: target sent id 4: 6514 7ea418c000 26cc4
 send_target_man-200   [002] ...1   878.983630: send_zram_to_nbd: target sent id 4: 6514 7ea418b000 26cc5
 send_target_man-200   [002] ...1   878.985529: send_zram_to_nbd: target sent id 4: 6514 7ea3983000 26cc6
 send_target_man-200   [000] ...1   878.987934: send_zram_to_nbd: target sent id 4: 6514 7eaeeed000 26cc7
 send_target_man-200   [000] ...1   878.993211: send_zram_to_nbd: target sent id 4: 6514 7eaeef9000 26cc8
 send_target_man-200   [003] ...1   878.995490: send_zram_to_nbd: target sent id 4: 6514 7eaf5bb000 26cc9
 send_target_man-200   [003] ...1   878.997825: send_zram_to_nbd: target sent id 4: 6514 7ea418d000 26cca
 send_target_man-200   [002] ...1   878.999632: send_zram_to_nbd: target sent id 4: 6514 7ea424e000 26ccb
 send_target_man-200   [002] ...1   879.001306: send_zram_to_nbd: target sent id 4: 6514 7ea424f000 26ccc
 send_target_man-200   [002] ...1   879.002970: send_zram_to_nbd: target sent id 4: 6514 7ea4250000 26ccd
 send_target_man-200   [002] ...1   879.004788: send_zram_to_nbd: target sent id 4: 6514 7ea4251000 26cce
 send_target_man-200   [000] ...1   879.006785: send_zram_to_nbd: target sent id 4: 6514 7ea4252000 26ccf
 send_target_man-200   [000] ...1   879.008836: send_zram_to_nbd: target sent id 4: 6514 7ea4156000 26cd0
 send_target_man-200   [002] ...1   879.011011: send_zram_to_nbd: target sent id 4: 6514 7ea4157000 26cd1
 send_target_man-200   [002] ...1   879.012856: send_zram_to_nbd: target sent id 4: 6514 7ea4158000 26cd2
 send_target_man-200   [002] ...1   879.014690: send_zram_to_nbd: target sent id 4: 6514 7ea4159000 26cd3
 send_target_man-200   [002] ...1   879.016368: send_zram_to_nbd: target sent id 4: 6514 7ea4253000 26cd4
 send_target_man-200   [002] ...1   879.018101: send_zram_to_nbd: target sent id 4: 6514 7ea4269000 26cd5
 send_target_man-200   [002] ...1   879.020169: send_zram_to_nbd: target sent id 4: 6514 7ea426a000 26cd6
 send_target_man-200   [002] ...1   879.023045: send_zram_to_nbd: target sent id 4: 6514 7ea426b000 26cd7
 send_target_man-200   [002] ...1   879.024972: send_zram_to_nbd: target sent id 4: 6514 7ea3b09000 26cd8
 send_target_man-200   [002] ...1   879.026931: send_zram_to_nbd: target sent id 4: 6514 7ea426c000 26cd9
 send_target_man-200   [002] ...1   879.028660: send_zram_to_nbd: target sent id 4: 6514 7ea426d000 26cda
 send_target_man-200   [002] ...1   879.030399: send_zram_to_nbd: target sent id 4: 6514 7ea4141000 26cdb
