# tracer: nop
#
# entries-in-buffer/entries-written: 11966/11966   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
       UnityMain-6014  [006] d..4  1677.122764: __free_cluster: [REMOTE __free_cluster] free cluster 1774
 send_target_man-200   [002] ...1  1688.126564: send_zram_to_nbd: target sent: 6467 7eabfcf000 612831
 send_target_man-200   [002] ...1  1688.129750: send_zram_to_nbd: target sent: 6467 7e9b763000 612832
 send_target_man-200   [002] ...1  1688.132180: send_zram_to_nbd: target sent: 6467 7ea1591000 612833
 send_target_man-200   [002] ...1  1688.134108: send_zram_to_nbd: target sent: 6467 7e9b594000 612834
 send_target_man-200   [002] ...1  1688.136567: send_zram_to_nbd: target sent: 6467 7ea1592000 612835
 send_target_man-200   [002] ...1  1688.138580: send_zram_to_nbd: target sent: 6467 7e9b7c7000 612836
 send_target_man-200   [002] ...1  1688.140638: send_zram_to_nbd: target sent: 6467 7e9b77b000 612837
 send_target_man-200   [002] ...1  1688.142390: send_zram_to_nbd: target sent: 6467 7ea15d8000 612838
 send_target_man-200   [002] ...1  1688.144517: send_zram_to_nbd: target sent: 6467 7ea15c7000 612839
 send_target_man-200   [002] ...1  1688.146802: send_zram_to_nbd: target sent: 6467 7ea1aec000 61283a
 send_target_man-200   [002] ...1  1688.148790: send_zram_to_nbd: target sent: 6467 7e9b596000 61283b
 send_target_man-200   [002] ...1  1688.151005: send_zram_to_nbd: target sent: 6467 7ead513000 61283c
 send_target_man-200   [002] ...1  1688.153245: send_zram_to_nbd: target sent: 6467 7e9b597000 61283d
 send_target_man-200   [002] ...1  1688.155155: send_zram_to_nbd: target sent: 6467 7e9b716000 61283e
 send_target_man-200   [002] ...1  1688.157341: send_zram_to_nbd: target sent: 6467 7ea15e7000 61283f
 send_target_man-200   [002] ...1  1688.159468: send_zram_to_nbd: target sent: 6467 7e9b86d000 612840
 send_target_man-200   [002] ...1  1688.162268: send_zram_to_nbd: target sent: 6467 7ea1575000 612841
