# tracer: nop
#
# entries-in-buffer/entries-written: 38827/38827   #P:1
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
 .gms.persistent-2264  [004] ....  1981.091508: do_swap_page: swapin tgid 2264 2264 ".gms.persistent" 7eb3a88000 1a02f3 1 1
 .gms.persistent-2264  [004] ....  1981.091564: do_swap_page: swapin tgid 2264 2264 ".gms.persistent" 7ead5bf000 1ac5f7 1 1
 .gms.persistent-2264  [004] d..2  1981.091566: free_swap_slot: swapfree cache 1ac5f7
           <...>-3906  [004] ....  1981.092549: do_swap_page: swapin tgid 1335 3906 "Binder:1335_F" 7eb4df9000 138555 1 1
           <...>-3906  [004] d..2  1981.092553: free_swap_slot: swapfree cache 138555
           <...>-3906  [004] ....  1981.092555: do_swap_page: swapin tgid 1335 3906 "Binder:1335_F" 7eb4dfa000 138556 1 1
           <...>-3906  [004] d..2  1981.092556: free_swap_slot: swapfree cache 138556
   Binder:2264_D-11955 [004] ....  1981.092752: do_swap_page: swapin tgid 2264 11955 "Binder:2264_D" 13581000 1a057c 1 1
 .gms.persistent-2264  [004] ....  1981.092953: do_swap_page: swapin tgid 2264 2264 ".gms.persistent" 7f23696000 1c42c0 0 1
 .gms.persistent-2264  [004] ....  1981.093527: do_swap_page: swapin tgid 2264 2264 ".gms.persistent" 7f23696000 1c42c0 1 1
 .gms.persistent-2264  [004] ....  1981.093757: do_swap_page: swapin tgid 2264 2264 ".gms.persistent" 7f2371b000 1c42db 0 1
 .gms.persistent-2264  [004] ....  1981.093889: do_swap_page: swapin tgid 2264 2264 ".gms.persistent" 7f2371b000 1c42db 1 1
           <...>-5143  [004] ....  1981.094723: do_swap_page: swapin tgid 2407 5143 "Binder:2407_8" 138b3000 1dc5f8 1 1
           <...>-5143  [004] d..2  1981.094731: free_swap_slot: swapfree cache 1dc5f8
           <...>-2407  [004] ....  1981.094936: do_swap_page: swapin tgid 2407 2407 "gle.android.gms" 13628000 1d456d 1 1
           <...>-2407  [004] ....  1981.094962: do_swap_page: swapin tgid 2407 2407 "gle.android.gms" 13629000 1d456e 1 1
           <...>-2407  [004] ....  1981.095063: do_swap_page: swapin tgid 2407 2407 "gle.android.gms" 13500000 1d0545 1 1
           <...>-2407  [004] ....  1981.095071: do_swap_page: swapin tgid 2407 2407 "gle.android.gms" 7ed34d2000 543b5 0 1
 .gms.persistent-2264  [004] ....  1981.095602: do_swap_page: swapin tgid 2264 2264 ".gms.persistent" 7eb3b9e000 1b4572 1 1
 .gms.persistent-2264  [004] ....  1981.095607: do_swap_page: swapin tgid 2264 2264 ".gms.persistent" 13ac0000 158274 0 1
           <...>-2407  [004] ....  1981.095679: do_swap_page: swapin tgid 2407 2407 "gle.android.gms" 7ed34d2000 543b5 1 1
           <...>-2407  [004] ....  1981.095685: do_swap_page: swapin tgid 2407 2407 "gle.android.gms" 13502000 1d0547 1 1
           <...>-2407  [004] ....  1981.095695: do_swap_page: swapin tgid 2407 2407 "gle.android.gms" 7fbe1f5000 7c3cd 0 1
 .gms.persistent-2264  [004] ....  1981.095813: do_swap_page: swapin tgid 2264 2264 ".gms.persistent" 13ac0000 158274 1 1
 .gms.persistent-2264  [004] ....  1981.095932: do_swap_page: swapin tgid 2264 2264 ".gms.persistent" 13155000 1502c1 0 1
           <...>-2407  [004] ....  1981.095963: do_swap_page: swapin tgid 2407 2407 "gle.android.gms" 7fbe1f5000 7c3cd 1 1
           <...>-2407  [004] ....  1981.096826: do_swap_page: swapin tgid 2407 2407 "gle.android.gms" 1318c000 1c458d 1 1
           <...>-2407  [004] ....  1981.096838: do_swap_page: swapin tgid 2407 2407 "gle.android.gms" 7ed353b000 1f059e 1 1
           <...>-2407  [004] ....  1981.096842: do_swap_page: swapin tgid 2407 2407 "gle.android.gms" 13352000 1cc553 1 1
           <...>-2407  [004] ....  1981.096849: do_swap_page: swapin tgid 2407 2407 "gle.android.gms" 131a5000 1c45a6 1 1
           <...>-2407  [004] ....  1981.096856: do_swap_page: swapin tgid 2407 2407 "gle.android.gms" 13236000 1c8537 1 1
           <...>-2407  [004] ....  1981.096870: do_swap_page: swapin tgid 2407 2407 "gle.android.gms" 1362a000 1d456f 1 1
           <...>-2407  [004] ....  1981.096891: do_swap_page: swapin tgid 2407 2407 "gle.android.gms" 7f28bd4000 4637 1 1
           <...>-2407  [004] d..2  1981.096894: free_swap_slot: swapfree cache 4637
           <...>-2407  [004] ....  1981.096907: do_swap_page: swapin tgid 2407 2407 "gle.android.gms" 7ed34b2000 54395 0 1
           <...>-2750  [004] ....  1981.096947: do_swap_page: swapin tgid 2407 2750 "ice] processing" 7ebf4a5000 1ec5de 1 1
           <...>-2750  [004] d..2  1981.096949: free_swap_slot: swapfree cache 1ec5de
           <...>-2750  [004] ....  1981.096952: do_swap_page: swapin tgid 2407 2750 "ice] processing" 7ebf4a6000 1ec5df 1 1
           <...>-2750  [004] ....  1981.096957: do_swap_page: swapin tgid 2407 2750 "ice] processing" 7f28b1b000 4609 1 1
           <...>-2750  [004] d..2  1981.096959: free_swap_slot: swapfree cache 4609
           <...>-2750  [004] ....  1981.096963: do_swap_page: swapin tgid 2407 2750 "ice] processing" 7ebf4a3000 4c30f 0 1
           <...>-2750  [004] ....  1981.097409: do_swap_page: swapin tgid 2407 2750 "ice] processing" 7ebf4a3000 4c30f 1 1
           <...>-2750  [004] ....  1981.097440: do_swap_page: swapin tgid 2407 2750 "ice] processing" 7ebf4a4000 1ec5dd 1 1
           <...>-2750  [004] d..2  1981.097442: free_swap_slot: swapfree cache 1ec5dd
           <...>-2750  [004] ....  1981.097445: do_swap_page: swapin tgid 2407 2750 "ice] processing" 7ec5c8d000 1ec5f3 1 1
           <...>-2750  [004] d..2  1981.097447: free_swap_slot: swapfree cache 1ec5f3
           <...>-2750  [004] ....  1981.097449: do_swap_page: swapin tgid 2407 2750 "ice] processing" 7ec5c8e000 4c37e 0 1
 .gms.persistent-2264  [004] ....  1981.097539: do_swap_page: swapin tgid 2264 2264 ".gms.persistent" 13155000 1502c1 1 1
 .gms.persistent-2264  [004] ....  1981.097576: do_swap_page: swapin tgid 2264 2264 ".gms.persistent" 7f21461000 1c4248 0 1
           <...>-2750  [004] ....  1981.097604: do_swap_page: swapin tgid 2407 2750 "ice] processing" 7ec5c8e000 4c37e 1 1
           <...>-2750  [004] ....  1981.097609: do_swap_page: swapin tgid 2407 2750 "ice] processing" 7ec5c8f000 1ec5f4 1 1
           <...>-2750  [004] d..2  1981.097611: free_swap_slot: swapfree cache 1ec5f4
           <...>-2750  [004] d..2  1981.097616: free_swap_slot: swapfree cache c6cc
           <...>-2750  [004] ....  1981.097618: do_swap_page: swapin tgid 2407 2750 "ice] processing" 7f28bd5000 4638 1 1
           <...>-2750  [004] d..2  1981.097620: free_swap_slot: swapfree cache 4638
           <...>-2750  [004] d..2  1981.097621: free_swap_slot: swapfree cache 4613
           <...>-2407  [004] ....  1981.097629: do_swap_page: swapin tgid 2407 2407 "gle.android.gms" 7ed34b2000 54395 1 1
           <...>-2407  [004] ....  1981.097733: do_swap_page: swapin tgid 2407 2407 "gle.android.gms" 131dd000 1c45de 1 1
           <...>-2407  [004] ....  1981.097742: do_swap_page: swapin tgid 2407 2407 "gle.android.gms" 1324c000 1c854d 1 1
           <...>-2407  [004] ....  1981.097753: do_swap_page: swapin tgid 2407 2407 "gle.android.gms" 7ed356a000 1f05cc 1 1
           <...>-2407  [004] ....  1981.097763: do_swap_page: swapin tgid 2407 2407 "gle.android.gms" 1316f000 1c4570 1 1
           <...>-2407  [004] ....  1981.097772: do_swap_page: swapin tgid 2407 2407 "gle.android.gms" 7ed355f000 1f05c1 1 1
           <...>-2407  [004] d..2  1981.097806: free_swap_slot: swapfree cache c693
