[21038.024009] google_charger: usbchg=USB typec=C usbv=4884 usbc=488 usbMv=5000 usbMc=500
[21038.024093] sm8150_bms: MSC_PCS chg_state=1f4108403010015 [0x15:3:1:4228:500] chg=u
[21038.024099] google_battery: MSC_DIN chg_state=1f4108403010015 f=0x15 chg_s=Charging chg_t=Fast vchg=4228 icl=500
[21038.026829] google_battery: MSC_DSG vbatt_idx:2->1 vbatt=4225000 ibatt=86562 fv_uv=4400000 cv_cnt=0 ov_cnt=0
[21038.026834] google_battery: MSC_LOGIC cv_cnt=0 ov_cnt=0 temp_idx:2->2, vbatt_idx:1->1, fv=4300000->4300000, cc_max=1975000
[21064.520796] swapout tgid 536 pid 536 name "ueventd" vma 7f81a0c000
[21064.520799] swapout tgid 536 pid 536 name "ueventd" vma 7f81a48000
[21064.520801] swapout tgid 536 pid 536 name "ueventd" vma 7f81b27000
[21064.520809] swapout tgid 536 pid 536 name "ueventd" vma 7f81a33000
[21064.520812] swapout tgid 536 pid 536 name "ueventd" vma 7f81a36000
[21064.521536] swapout tgid 536 pid 536 name "ueventd" vma 7f81a34000
[21064.521553] swapout tgid 536 pid 536 name "ueventd" vma 7f81aaf000
[21064.521556] swapout tgid 536 pid 536 name "ueventd" vma 7f81ab0000
[21064.521559] swapout tgid 536 pid 536 name "ueventd" vma 7f81a3b000
[21064.521582] swapout tgid 918 pid 918 name "storaged" vma 7fbbad9000
[21064.521586] swapout tgid 918 pid 918 name "storaged" vma 7fbbad3000
[21064.521589] swapout tgid 918 pid 918 name "storaged" vma 7fbbad4000
[21064.521597] swapout tgid 918 pid 918 name "storaged" vma 7fbba0c000
[21064.521603] swapout tgid 918 pid 918 name "storaged" vma 7fbba96000
[21064.521895] swapout tgid 918 pid 918 name "storaged" vma 7fbbc04000
[21064.521911] swapout tgid 918 pid 918 name "storaged" vma 7fbbc08000
[21064.521920] swapout tgid 918 pid 918 name "storaged" vma 7fbbc06000
[21064.521926] swapout tgid 918 pid 918 name "storaged" vma 7fbbc00000
[21064.521933] swapout tgid 918 pid 918 name "storaged" vma 7fbba90000
[21064.521955] swapout tgid 536 pid 536 name "ueventd" vma 7f81a20000
[21064.521957] swapout tgid 536 pid 536 name "ueventd" vma 7f81a3c000
