[11626.142574] before: swapin tgid 9444 pid 3913 name "GLThread 416" vma 7e9cdc9000
[11626.142591] before: swapin tgid 9444 pid 3913 name "GLThread 416" vma 7e9cdf0000
[11626.142599] before: swapin tgid 9444 pid 3913 name "GLThread 416" vma 7e9cdf1000
[11626.142685] before: swapin tgid 9444 pid 3913 name "AudioTrack" vma 7e41ae2000
[11626.142723] before: swapin tgid 9444 pid 3913 name "AudioTrack" vma 7fbe19b000
[11626.142744] before: swapin tgid 9444 pid 3913 name "AudioTrack" vma 7fbe267000
[11626.142752] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f28b2d000
[11626.142753] before: swapin tgid 9444 pid 3913 name "AudioTrack" vma 7f28a5a000
[11626.142762] before: swapin tgid 9444 pid 3913 name "AudioTrack" vma 7eb26ee000
[11626.144932] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7e9cd84000
[11626.145047] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f3985f000
[11626.145075] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f3985b000
[11626.145108] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7ea6732000
[11626.145233] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f28a7c000
[11626.146238] before: swapin tgid 9444 pid 3914 name "GLThread 416" vma 7e9cdf2000
[11626.146259] before: swapin tgid 9444 pid 3914 name "GLThread 416" vma 7e9ce34000
[11626.146265] before: swapin tgid 9444 pid 3914 name "GLThread 416" vma 7e9ce35000
[11626.146275] before: swapin tgid 9444 pid 3914 name "GLThread 416" vma 7ea5305000
[11626.146293] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7e9cd64000
[11626.146319] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7e9cc6f000
[11626.146326] before: swapin tgid 9444 pid 3914 name "AudioTrack" vma 7f39865000
