# tracer: nop
#
# entries-in-buffer/entries-written: 19077/19077   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-18320 [007] ....  3551.898860: app_switch_start_handler: ###########switch start! foreground 0#############
 send_target_man-200   [002] ...1  4145.615501: send_zram_to_nbd: target sent: 1337 7eb8e9b000 39d56
 send_target_man-200   [002] ...1  4145.617690: send_zram_to_nbd: target sent: 1337 7eb8e9c000 39d57
 send_target_man-200   [000] ...1  4145.619802: send_zram_to_nbd: target sent: 1337 7e8664a000 39d58
 send_target_man-200   [000] ...1  4145.621949: send_zram_to_nbd: target sent: 1337 7e8664b000 41d45
 send_target_man-200   [000] ...1  4145.624237: send_zram_to_nbd: target sent: 1337 7eb8ed4000 41d46
 send_target_man-200   [000] ...1  4145.626479: send_zram_to_nbd: target sent: 1337 7e6f314000 41d47
 send_target_man-200   [000] ...1  4145.628824: send_zram_to_nbd: target sent: 1337 7e6f325000 41d48
 send_target_man-200   [000] ...1  4145.630914: send_zram_to_nbd: target sent: 1337 7e6f326000 41d49
 send_target_man-200   [000] ...1  4145.633200: send_zram_to_nbd: target sent: 1337 7e6f327000 41d4a
 send_target_man-200   [000] ...1  4145.636134: send_zram_to_nbd: target sent: 1337 7e633ad000 41d4b
 send_target_man-200   [000] ...1  4145.638309: send_zram_to_nbd: target sent: 1337 7e633ae000 41d4c
 send_target_man-200   [002] ...1  4145.640493: send_zram_to_nbd: target sent: 1337 7e6339d000 41d4d
 send_target_man-200   [002] ...1  4145.642524: send_zram_to_nbd: target sent: 1337 7e6339e000 39d59
 send_target_man-200   [002] ...1  4145.644975: send_zram_to_nbd: target sent: 1337 7ed0a28000 39d5a
 send_target_man-200   [002] ...1  4145.647342: send_zram_to_nbd: target sent: 1337 7ed0ce8000 39d5b
 send_target_man-200   [002] ...1  4145.652601: send_zram_to_nbd: target sent: 1337 7ed0ce9000 39d5c
 send_target_man-200   [001] ...1  4145.654813: send_zram_to_nbd: target sent: 1337 7ed0cea000 39d5d
 send_target_man-200   [002] ...1  4145.657034: send_zram_to_nbd: target sent: 1337 7ed0ceb000 45d36
 send_target_man-200   [002] ...1  4145.659277: send_zram_to_nbd: target sent: 1337 7ed0cec000 39d5e
 send_target_man-200   [002] ...1  4145.661570: send_zram_to_nbd: target sent: 1337 7eb8da1000 39d5f
 send_target_man-200   [002] ...1  4145.667342: send_zram_to_nbd: target sent: 1337 7eb8da2000 39d60
 send_target_man-200   [002] ...1  4145.669529: send_zram_to_nbd: target sent: 1337 7eb7efa000 39d61
 send_target_man-200   [001] ...1  4145.671802: send_zram_to_nbd: target sent: 1337 7eb7ef8000 39d62
 send_target_man-200   [001] ...1  4145.677526: send_zram_to_nbd: target sent: 1337 7eb7ef9000 45d37
 send_target_man-200   [001] ...1  4145.680623: send_zram_to_nbd: target sent: 1337 7eb8eef000 45d38
 send_target_man-200   [003] ...1  4145.682785: send_zram_to_nbd: target sent: 1337 7eb8ef0000 45d39
 send_target_man-200   [003] ...1  4145.685228: send_zram_to_nbd: target sent: 1337 7eb8e8a000 49d0f
 send_target_man-200   [003] ...1  4145.687225: send_zram_to_nbd: target sent: 1337 7e6fab7000 49d10
 send_target_man-200   [003] ...1  4145.689422: send_zram_to_nbd: target sent: 1337 7e6fadb000 49d11
