id 8, table 0 || 607: 8962 3b94b000
id 8, table 0 || 608: 8962 c2fde000
id 8, table 0 || 609: 8962 3b94c000
id 8, table 0 || 610: 8962 3b6f1000
id 8, table 0 || 611: 8962 6ffd3000
id 8, table 0 || 612: 8962 3b67e000
id 8, table 0 || 613: 8962 3b972000
id 8, table 0 || 614: 8962 c316e000
id 8, table 0 || 615: 8962 3bc55000
id 8, table 0 || 616: 8962 c2fe3000
id 8, table 0 || 617: 8962 c316b000
id 8, table 0 || 618: 8962 3b622000
id 8, table 0 || 619: 8962 c315c000
id 8, table 0 || 620: 8962 3ba76000
id 8, table 0 || 621: 8962 3ba77000
id 8, table 0 || 622: 8962 3b77f000
id 8, table 0 || 623: 8962 3c35a000
id 8, table 0 || 624: 8962 3b714000
id 8, table 0 || 625: 8962 3c358000
id 8, table 0 || 626: 8962 3b781000
id 8, table 0 || 627: 8962 3c228000
id 8, table 0 || 628: 8962 3c35f000
id 8, table 0 || 629: 8962 3c35b000
id 8, table 0 || 630: 8962 3c363000
id 8, table 0 || 631: 8962 3c360000
id 8, table 0 || 632: 8962 3c359000
id 8, table 0 || 633: 8962 3b713000
id 8, table 0 || 634: 8962 3b780000
id 8, table 0 || 635: 8962 3bb42000
id 8, table 0 || 636: 8962 3bfc2000
id 8, table 0 || 637: 8962 3b684000
id 8, table 0 || 638: 9606 a93a9000
