[ 9796.514413] foreground_evict = 0
[ 9796.514417] background_evict = 0
[ 9796.514418] foreground_refault = 0
[ 9796.514419] background_refault = 0
[ 9796.514420] foreground_fault = 0
[ 9803.747941] after: swapin tgid 15666 pid 15666 name "stagram.android" vma 7f2dacb000
[ 9803.799215] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7eae4f2000
[ 9803.804125] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e70709000
[ 9803.804242] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a63a000
[ 9803.860478] after: swapin tgid 15666 pid 15666 name "stagram.android" vma 7e7cea3000
[ 9803.862684] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e701f1000
[ 9803.882849] after: swapin tgid 15666 pid 15666 name "stagram.android" vma 7e7af5d000
[ 9803.882946] after: swapin tgid 15666 pid 15666 name "stagram.android" vma 7e4e398000
[ 9803.891911] after: swapin tgid 15666 pid 15842 name "Image Decoding" vma 7e669f0000
[ 9803.892884] after: swapin tgid 15666 pid 15746 name "Thread-13" vma 7e80135000
[ 9803.902017] after: swapin tgid 15666 pid 15842 name "Image Decoding" vma 7e669f1000
[ 9803.902040] after: swapin tgid 15666 pid 15842 name "Image Decoding" vma 7e669f2000
[ 9803.902059] after: swapin tgid 15666 pid 15842 name "Image Decoding" vma 7e669f3000
[ 9803.902069] after: swapin tgid 15666 pid 15842 name "Image Decoding" vma 7e669f4000
[ 9803.902090] after: swapin tgid 15666 pid 15842 name "Image Decoding" vma 7e7703c000
[ 9803.902193] after: swapin tgid 15666 pid 15842 name "Image Decoding" vma 7e669f5000
[ 9803.904736] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e6fcf9000
[ 9803.908367] after: swapin tgid 15666 pid 15842 name "Image Decoding" vma 7e7f694000
[ 9804.163877] after: swapin tgid 15666 pid 15589 name "IgExecutorV2 #1" vma 7e80466000
[ 9804.163927] after: swapin tgid 15666 pid 15589 name "IgExecutorV2 #1" vma 7e80467000
[ 9805.000272] swapout tgid 15666 pid 15666 name "stagram.android" vma 7f2dd44000
[ 9805.000343] swapout tgid 29459 pid 29459 name "am.android:mqtt" vma 7f2d73a000
[ 9805.001363] swapout tgid 15666 pid 15666 name "stagram.android" vma 7e805b5000
[ 9805.085540] after: swapin tgid 15666 pid 15666 name "stagram.android" vma 7e7a949000
[ 9805.109855] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7eae428000
