# tracer: nop
#
# entries-in-buffer/entries-written: 8468/8468   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-5987  [005] d..4   660.537598: __free_cluster: [REMOTE __free_cluster] free cluster 975
 send_target_man-200   [000] ...1   683.134049: send_zram_to_nbd: target sent: 6475 7e9c880000 54ae
 send_target_man-200   [000] ...1   683.136035: send_zram_to_nbd: target sent: 6475 7e9c881000 54af
 send_target_man-200   [000] ...1   683.138212: send_zram_to_nbd: target sent: 6475 7e9c8cc000 54b0
 send_target_man-200   [000] ...1   683.140219: send_zram_to_nbd: target sent: 6475 7eaec67000 54b1
 send_target_man-200   [000] ...1   683.143065: send_zram_to_nbd: target sent: 6475 7eaf264000 54b2
 send_target_man-200   [003] ...1   683.145119: send_zram_to_nbd: target sent: 6475 7eaec6a000 54b3
 send_target_man-200   [003] ...1   683.147304: send_zram_to_nbd: target sent: 6475 7e9c8cd000 54b4
 send_target_man-200   [003] ...1   683.149706: send_zram_to_nbd: target sent: 6475 7eaf284000 54b5
 send_target_man-200   [003] ...1   683.152495: send_zram_to_nbd: target sent: 6475 7eaf265000 54b6
 send_target_man-200   [003] ...1   683.154540: send_zram_to_nbd: target sent: 6475 7eaf266000 54b7
 send_target_man-200   [003] ...1   683.157308: send_zram_to_nbd: target sent: 6475 7eaf277000 54b8
 send_target_man-200   [003] ...1   683.160327: send_zram_to_nbd: target sent: 6475 7e9cca2000 54b9
 send_target_man-200   [001] ...1   683.163464: send_zram_to_nbd: target sent: 6475 7eaf957000 54ba
 send_target_man-200   [001] ...1   683.165982: send_zram_to_nbd: target sent: 6475 7eaec8f000 54bb
 send_target_man-200   [000] ...1   683.171386: send_zram_to_nbd: target sent: 6475 7eaf915000 54bc
 send_target_man-200   [000] ...1   683.174368: send_zram_to_nbd: target sent: 6475 7eaedb3000 54bd
 send_target_man-200   [001] ...1   683.180685: send_zram_to_nbd: target sent: 6475 7eaf916000 54be
 send_target_man-200   [001] ...1   683.182732: send_zram_to_nbd: target sent: 6475 7eaec8e000 54bf
 send_target_man-200   [001] ...1   683.184484: send_zram_to_nbd: target sent: 6475 7eaf5d2000 54c0
 send_target_man-200   [001] ...1   683.186145: send_zram_to_nbd: target sent: 6475 7eae9e5000 54c1
 send_target_man-200   [001] ...1   683.187953: send_zram_to_nbd: target sent: 6475 7eae9e7000 54c2
 send_target_man-200   [001] ...1   683.191717: send_zram_to_nbd: target sent: 6475 7eaefee000 54c3
 send_target_man-200   [003] ...1   683.193850: send_zram_to_nbd: target sent: 6475 7eaedf6000 54c4
 send_target_man-200   [002] ...1   683.195801: send_zram_to_nbd: target sent: 6475 7eaedf7000 54c5
 send_target_man-200   [002] ...1   683.197628: send_zram_to_nbd: target sent: 6475 7eaeebd000 54c6
 send_target_man-200   [002] ...1   683.199377: send_zram_to_nbd: target sent: 6475 7eaedf8000 54c7
 send_target_man-200   [002] ...1   683.201119: send_zram_to_nbd: target sent: 6475 7eaebb3000 54c8
 send_target_man-200   [002] ...1   683.202993: send_zram_to_nbd: target sent: 6475 7eaf02a000 54c9
 send_target_man-200   [002] ...1   683.204914: send_zram_to_nbd: target sent: 6475 7e9c5da000 54ca
 send_target_man-200   [002] ...1   683.207421: send_zram_to_nbd: target sent: 6475 7eb0659000 54cb
 send_target_man-200   [002] ...1   683.209399: send_zram_to_nbd: target sent: 6475 7eb0552000 54cc
 send_target_man-200   [002] ...1   683.211353: send_zram_to_nbd: target sent: 6475 7eaf1aa000 54cd
 send_target_man-200   [002] ...1   683.213758: send_zram_to_nbd: target sent: 6475 7ec6da4000 54ce
 send_target_man-200   [002] ...1   683.216052: send_zram_to_nbd: target sent: 6475 7ec6ecc000 54cf
 send_target_man-200   [002] ...1   683.219995: send_zram_to_nbd: target sent: 6475 7e9c6f0000 54d0
 send_target_man-200   [002] ...1   683.222127: send_zram_to_nbd: target sent: 6475 7e9c6f9000 54d1
 send_target_man-200   [002] ...1   683.224460: send_zram_to_nbd: target sent: 6475 7eaf22b000 54d2
 send_target_man-200   [002] ...1   683.226744: send_zram_to_nbd: target sent: 6475 7eaf962000 54d3
 send_target_man-200   [002] ...1   683.228801: send_zram_to_nbd: target sent: 6475 7eae9df000 54d4
 send_target_man-200   [002] ...1   683.231230: send_zram_to_nbd: target sent: 6475 7eaebff000 54d5
 send_target_man-200   [001] ...1   683.233589: send_zram_to_nbd: target sent: 6475 7eaef8b000 54d6
 send_target_man-200   [001] ...1   683.235399: send_zram_to_nbd: target sent: 6475 7eaec03000 54d7
 send_target_man-200   [001] ...1   683.237088: send_zram_to_nbd: target sent: 6475 7ec4738000 54d8
 send_target_man-200   [001] ...1   683.238798: send_zram_to_nbd: target sent: 6475 7eaf04f000 54d9
 send_target_man-200   [001] ...1   683.241152: send_zram_to_nbd: target sent: 6475 7e9cb45000 54da
 send_target_man-200   [001] ...1   683.243145: send_zram_to_nbd: target sent: 6475 7e99939000 54db
 send_target_man-200   [001] ...1   683.245335: send_zram_to_nbd: target sent: 6475 7eaec89000 54dc
 send_target_man-200   [001] ...1   683.247346: send_zram_to_nbd: target sent: 6475 7e9c891000 54dd
 send_target_man-200   [001] ...1   683.249317: send_zram_to_nbd: target sent: 6475 7f28da5000 54de
 send_target_man-200   [001] ...1   683.251840: send_zram_to_nbd: target sent: 6475 7ec6da5000 54df
 send_target_man-200   [001] ...1   683.254082: send_zram_to_nbd: target sent: 6475 7eb00fe000 54e0
 send_target_man-200   [001] ...1   683.256121: send_zram_to_nbd: target sent: 6475 7f28da3000 54e1
 send_target_man-200   [001] ...1   683.258433: send_zram_to_nbd: target sent: 6475 7ec7422000 54e2
 send_target_man-200   [001] ...1   683.260508: send_zram_to_nbd: target sent: 6475 7ec6c34000 54e3
 send_target_man-200   [001] ...1   683.263167: send_zram_to_nbd: target sent: 6475 7f28a4f000 54e4
 send_target_man-200   [000] ...1   683.265789: send_zram_to_nbd: target sent: 6475 7ec6c38000 54e5
 send_target_man-200   [001] ...1   683.267689: send_zram_to_nbd: target sent: 6475 7eaf5d1000 54e6
 send_target_man-200   [001] ...1   683.269671: send_zram_to_nbd: target sent: 6475 7eaea04000 54e7
 send_target_man-200   [001] ...1   683.271426: send_zram_to_nbd: target sent: 6475 7eaf956000 54e8
 send_target_man-200   [002] ...1   683.274562: send_zram_to_nbd: target sent: 6475 7eaf229000 54e9
 send_target_man-200   [002] ...1   683.276738: send_zram_to_nbd: target sent: 6475 7eaf22a000 54ea
 send_target_man-200   [002] ...1   683.279062: send_zram_to_nbd: target sent: 6475 7eaec93000 54eb
 send_target_man-200   [002] ...1   683.281469: send_zram_to_nbd: target sent: 6475 7e9c817000 54ec
 send_target_man-200   [001] ...1   683.283684: send_zram_to_nbd: target sent: 6475 7e9c818000 54ed
 send_target_man-200   [003] ...1   683.285566: send_zram_to_nbd: target sent: 6475 7eaf2b5000 54ee
 send_target_man-200   [003] ...1   683.288170: send_zram_to_nbd: target sent: 6475 7eaf2b6000 54ef
 send_target_man-200   [003] ...1   683.290296: send_zram_to_nbd: target sent: 6475 7eaf2bb000 54f0
 send_target_man-200   [002] ...1   683.292298: send_zram_to_nbd: target sent: 6475 7eaf2f7000 54f1
 send_target_man-200   [002] ...1   683.294206: send_zram_to_nbd: target sent: 6475 7eaf2fa000 54f2
